Unit,Station_Lat,Station_Long,Sun_Norm,Mon_Norm,Tues_Norm,Wed_Norm,Thurs_Norm,Fri_Norm,Sat_Norm
R148,40.655053,-73.961227,1,7.671962408,8.511747595,8.978966212,10,3.158872231,1.857910047
R149,40.635059,-73.962793,1,8.722331185,10,8.903054077,9.968898851,5.423928271,1.753992715
R150,40.599307,-73.955916,1,9.157020267,10,9.6467044,9.14880409,5.569837502,1.456819427
R151,40.577423,-73.981225,6.745121271,7.930025091,8.516517982,7.026136047,10,1,5.717660998
R152,40.64666,-73.901832,1,8.740850059,9.351829988,9.709784534,10,7.670306966,3.326372491
R153,40.679279,-73.930585,1,8.796350423,9.966585038,8.325697132,10,4.605972036,2.965795086
R154,40.850307,-73.905244,1,9.116746699,9.909063625,10,9.31392557,5.734093637,3.470588235
R155,40.866974,-73.893485,1,8.577052459,9.504954996,9.49104464,10,6.517501591,2.506409674
R156,40.873026,-73.886919,1,8.532297529,9.26119403,9.330560313,10,6.373134328,2.107658429
R157,40.874827,-73.878872,1,8.889013841,9.693252595,9.758650519,10,6.484083045,2.62482699
R158,40.714444,-73.830979,1,8.205470027,9.824804335,9.987615034,10,7.419024684,1.98563688
R159,40.80819,-73.964124,1,8.649074709,9.606751199,9.49263194,10,6.209389993,1.481151474
R160,40.730056,-73.991042,1,7.022861436,8.71525169,8.902651068,10,6.193087904,2.953203821
R161,40.867899,-73.897326,1,9.110359451,9.143982229,10,9.640145396,6.177907916,2.862883683
R162,40.828894,-73.879559,1,9.160216308,9.51044428,9.829180363,10,6.64563673,3.288410561
R163,40.737348,-73.9969,1,8.629838553,9.409453414,9.53258121,10,6.928224081,2.546391753
R164,40.773424,-73.982234,1,8.806417112,9.82451666,9.811188811,10,7.60987248,2.579350062
R165,40.636948,-74.074824,1,6.321944809,8.947437582,9.124835742,10,6.641261498,2.159001314
R166,40.783872,-73.979938,1,8.329915031,9.516554351,8.865221213,10,7.111631995,3.092880164
R167,40.788844,-73.97599,1,8.630023565,9.730590408,9.844659576,10,7.112731673,2.348767594
R168,40.79388,-73.972363,1,8.357103862,9.340077794,9.264842364,10,6.482666849,1.781220145
R169,40.821994,-73.953674,1,7.632152289,8.99977993,9.576144366,10,5.637654049,3.714458627
R170,40.734836,-73.990688,1,8.224282069,9.449744856,10,8.941629119,6.644481841,3.377761794
R171,40.677172,-73.972514,1,7.121648136,8.310660562,9.423152387,10,5.594179202,2.003597122
R172,40.577961,-73.961806,5.000156666,7.508538305,8.857903807,6.391822027,10,2.133636221,1
R173,40.868045,-73.919921,1,9.4838215,9.908909676,9.777794817,10,7.096150897,3.978377549
R174,40.851686,-73.937967,1,8.260718789,9.689785624,9.651954603,10,6.416456494,2.290037831
R175,40.740388,-74.002104,1,8.266272189,9.343195266,9.460880999,10,6.685075608,2.429980276
R176,40.746119,-73.981826,1,9.125459388,9.563336593,10,9.821875316,6.958225159,1.994403048
R177,40.768143,-73.964016,1,9.29961323,9.915677514,10,9.781841824,6.436549747,1.901140304
R178,40.773636,-73.959875,1,9.283692704,9.928224269,10,9.935474343,7.343089606,2.127869821
R179,40.779485,-73.955541,1,8.663341091,9.734088839,9.563796418,10,6.848224223,2.304239603
R180,40.790582,-73.947473,1,8.931573276,9.832974138,9.674030172,10,6.43049569,2.52424569
R181,40.795066,-73.944297,1,8.625009819,9.552509622,9.604822873,10,6.485822009,2.963160789
R182,40.798574,-73.941593,1,8.727775415,9.108039132,9.564866014,10,6.86984262,3.220331774
R183,40.873399,-73.890084,1,8.21577381,9.87797619,9.412202381,10,5.742559524,3.21875
R184,40.640905,-73.963866,1,7.496982995,9.089138782,8.200493692,10,3.962150302,1.565277016
R185,40.865286,-73.92698,1,7.402439024,9.428705441,9.051594747,10,5.930581614,1.959662289
R186,40.785822,-73.968952,1,8.497915107,9.702662247,9.745001604,10,6.361702128,1.810221319
R187,40.781435,-73.972149,1,8.316775244,9.228013029,8.620928339,10,5.835912052,1.508143322
R188,40.762439,-73.985989,1,7.434449524,9.289385889,8.467564562,10,5.23477079,2.332262449
R189,40.733405,-74.002898,3.285667107,4.486459709,5.155217966,7.66677675,10,2.239431968,1
R190,40.744071,-73.995624,1,8.530418978,9.566960015,9.902716663,10,5.944231873,3.414004209
R191,40.799354,-73.968329,1,8.44419004,9.456496852,9.699914139,10,6.914138523,2.765741271
R192,40.804032,-73.966742,1,8.160028653,9.013610315,9.173495702,10,5.906160458,2.362893983
R193,40.833879,-73.944726,1,8.757895907,9.392459964,8.927046263,10,6.066503559,3.297041815
R194,40.725665,-73.995645,1,7.928422928,9.545589546,9.429313929,10,5.64968815,2.778883279
R195,40.827888,-73.925736,1,8.739612188,9.586703601,9.555124654,10,5.856509695,2.665373961
R196,40.661596,-73.962193,1,7.583663131,8.535380719,8.444198195,10,3.611524458,1.163843597
R197,40.65515,-74.003477,1,8.786921192,9.666838643,9.897265575,10,6.822778279,2.707016639
R198,40.68041,-73.950326,1,8.212087626,9.013626288,9.166188551,10,5.651388708,2.965706089
R199,40.679921,-73.940858,1,8.033100329,8.837993421,8.950863487,10,4.759868421,3.225945724
R200,40.675382,-73.87207,1,8.768053016,9.91773309,9.563985375,10,5.664533821,2.804730347
R201,40.73308,-73.869259,1,9.100907775,9.395342718,9.615576898,10,7.118010788,2.762662808
R202,40.729869,-73.86161,1,9.379798809,9.897146377,8.5828372,10,7.040648737,1.439129542
R203,40.742868,-73.99277,1,8.922730505,9.657264755,9.849253378,10,7.091727898,2.478312396
R204,40.644039,-73.979541,1,9.134652613,9.920628092,10,8.567433857,1.052269305,2.870079587
R205,40.818429,-73.926927,1,8.830825688,9.569981651,9.638018349,10,6.556550459,3.397798165
R206,40.808076,-73.945906,1,8.985276562,10,8.662952646,9.782729805,6.825706327,4.100278552
R207,40.814459,-73.940992,1,8.69517601,9.186440678,9.49934811,10,5.327509778,3.301434159
R208,40.749858,-73.862672,1,9.383674717,9.81519413,9.739070621,10,8.075359217,2.779043106
R209,40.662752,-73.950605,1,8.771875,9.009375,9.4546875,10,6.784375,2.690625
R210,40.645089,-73.948975,1,8.813684834,9.173578199,9.75207346,10,6.614336493,2.615521327
R211,40.608691,-73.957772,1,9.106341336,9.774921712,9.63243737,10,4.276748434,1.124478079
R212,40.641426,-74.017972,1,9.664908257,9.508715596,9.429587156,10,6.235550459,2.31146789
R213,40.634945,-74.023411,1,9.836337984,9.76861577,10,9.140774416,5.074619846,2.063803104
R214,40.629702,-74.025514,1,8.974947368,9.535789474,10,9.691157895,6.466315789,2.585894737
R215,40.622715,-74.028368,1,8.639829541,9.553458641,9.67673693,10,6.697511605,2.54851229
R216,40.616624,-74.030964,1,9.25513379,9.745177349,10,9.862787803,6.149657747,2.085096453
R217,40.688465,-73.985474,1,8.853656498,9.661512746,9.314751358,10,7.084496448,3.081320518
R218,40.742445,-73.882005,1,10,9.934965035,9.574125874,8.338461538,8.304895105,2.68986014
R219,40.726462,-73.85263,1,9.288355148,9.871272433,9.20698961,10,6.73201997,1.869518284
R220,40.680231,-73.99498,1,8.209357876,9.33609667,9.30195307,10,6.872699171,2.530139104
R221,40.835535,-73.92138,1,8.916333725,9.969682726,9.835722679,10,6.098942421,3.361222092
R222,40.833246,-73.860805,1,9.364835464,9.636932282,10,9.873130269,6.244492793,2.401686157
R223,40.743079,-73.918419,1,9.312875976,9.866952515,9.746576219,10,7.154166133,2.809676181
R224,40.697356,-73.992888,1,7.806472919,9.114266843,8.638705416,10,1.297225892,2.37318362
R225,40.690547,-73.985066,1,7.898932384,8.872597865,9.111743772,10,7.098220641,3.320996441
R226,40.877796,-73.866341,1,8.745746511,9.872682088,10,9.526859109,6.170139553,2.66889696
R227,40.707222,-74.013391,1,8.891698736,9.878779549,9.846619021,10,6.259483233,1.437877955
R228,40.625028,-73.960819,1.394596988,8.367803366,10,9.428033658,9.894375554,5.143268379,1
R229,40.617568,-73.95936,2.713136729,9.086822025,9.214889668,9.24273046,10,5.387708806,1
R230,40.595234,-73.95509,1,8.919682259,10,9.311562224,9.798764342,6.414827891,1.256840247
R231,40.677302,-73.983135,1,8.19729425,9.286358512,10,9.864712514,6.474069899,3.208568207
R232,40.648866,-74.010086,1,8.805954198,8.700152672,9.774656489,10,5.640152672,3.667022901
R233,40.644959,-74.014034,1,9.366970297,10,9.40760396,9.110336634,6.044277228,3.006019802
R234,40.636232,-73.994765,2.263433638,9.194787749,10,9.633664696,9.831945191,6.624395486,1
R235,40.717241,-73.956614,1,5.194062789,7.656296718,8.188723571,10,3.675589094,3.795401153
R236,40.703839,-73.91844,1,8.428967254,9.3697733,8.391561713,10,6.588161209,3.186523929
R237,40.856085,-73.900695,1,8.151576511,9.354353486,9.890656639,10,6.248481342,2.463118311
R238,40.756864,-73.920736,1,8.80003978,9.674202745,9.337068223,10,6.991447325,3.068156202
R239,40.731324,-73.954425,1,8.748763932,9.475823347,9.52258443,10,7.190563982,2.761836923
R240,40.718542,-73.994164,1,9.029185952,9.552082766,9.151211544,10,6.476449769,3.06757419
R241,40.660376,-73.979509,1,7.34169279,8.664576803,10,9.554858934,5.263322884,2.887147335
R242,40.629881,-73.977149,1,9.513633669,9.846176645,9.885299348,10,8.059869591,1.012448133
R243,40.840048,-73.917775,1,8.527937389,9.888547652,9.893005746,10,6.380919358,3.46978403
R244,40.85339,-73.907733,1,8.739559819,9.810383747,9.751128668,10,5.862302483,3.744356659
R245,40.8315,-73.867623,1,8.837218491,10,9.953773212,9.896878704,5.823587515,3.40023706
R246,40.665438,-73.992856,1,8.796919566,9.604677695,10,9.835710211,6.748431261,2.663434113
R247,40.631412,-73.995473,2.795584628,8.989370401,9.028618152,9.310711365,10,6.612428455,1
R248,40.730901,-73.981719,1,7.429974211,9.078754215,9.335399722,10,6.310553462,2.520680421
R249,40.71459,-73.944104,1,8.519113573,8.279778393,9.594875346,10,6.734072022,2.485872576
R250,40.711874,-73.94067,1,9.104443967,10,9.584585659,8.897702877,7.33072134,2.555388579
R251,40.791654,-73.964682,1,8.917356928,9.167262801,9.66622741,10,6.666509789,1.814100151
R252,40.699316,-73.990474,1,7.133757962,7.768917197,8.940636943,10,2.002038217,2.453757962
R253,40.845892,-73.910136,1,8.400966913,9.521377852,9.022359873,10,6.374981115,2.758120562
R254,40.736998,-73.877242,1,9.247243628,9.761529342,10,9.893301719,7.20503853,2.345465323
R255,40.709174,-73.820593,1,9.057741117,10,8.067893401,9.834390863,6.676395939,2.212563452
R256,40.724608,-73.951271,1,8.130979499,9.139806378,9.562642369,10,6.88809795,2.506833713
R257,40.713647,-73.990152,1,9.040099558,9.345409292,9.511338496,10,6.479811947,2.30005531
R258,40.67032,-73.988757,1,8.535491905,9.310709838,9.411581569,10,6.762764633,2.365504359
R259,40.759123,-73.953266,1,7.824931256,9.179193401,9.223189734,10,5.460128323,2.62923923
R260,40.849495,-73.933632,1,8.719112805,9.985444464,9.548258534,10,6.221278808,3.010743372
R261,40.743778,-73.923998,1,9.199145895,9.891755273,8.395154262,10,7.091511243,2.352274708
R262,40.643982,-73.96451,1,9.428185198,9.124028388,8.527881041,10,5.270361609,2.660696181
R263,40.629164,-73.961678,1,9.013537118,9.379039301,9.563755459,10,4.434934498,1.687772926
R264,40.576298,-73.968523,5.866933467,9.531765883,9.941470735,8.311655828,10,1,2.449724862
R265,40.707889,-73.940005,1,7.985697019,5.862610798,8.243150685,10,5.935132957,3.995165189
R266,40.695607,-73.904021,1,8.803385417,9.537760417,9.760416667,10,6.647135417,2.790364583
R267,40.756312,-73.913333,1,8.113082538,8.588096575,9.807973049,10,7.184278495,2.376530039
R268,40.713875,-73.951592,1,7.484391819,9.015069968,9.002152853,10,2.986006459,3.305705059
R269,40.689636,-73.953459,1,8.387048193,9.260542169,9.44126506,10,5.78313253,2.475903614
R270,40.673714,-73.996139,1,9.100142834,10,9.965719727,9.872877321,6.981907634,2.565465799
R271,40.589547,-73.974295,1,9.353948946,9.836559877,10,9.995374336,7.975501114,1.040089087
R272,40.747224,-73.99336,1,9.070091168,9.722968336,9.955886678,10,7.32761494,2.511322419
R273,40.826426,-73.950412,1,8.363207547,9.952830189,9.555424528,10,5.301886792,3.281839623
R274,40.855176,-73.929384,1,4.612332287,5.704253497,4.370825007,10,8.607479303,2.130459606
R275,40.858389,-73.903828,1,8.381000505,10,9.931783729,9.593734209,5.770591208,3.505811016
R276,40.742624,-73.953545,1,7.80997536,9.070633913,8.084148436,10,5.031956992,3.245128052
R277,40.667879,-73.950648,1,8.391761364,9.488636364,9.414488636,10,6.801420455,3.063352273
R278,40.660481,-73.998059,1,8.80866426,9.465703971,9.151624549,10,6.653429603,2.732851986
R279,40.706636,-73.922925,1,8.165755054,9.210225922,8.745778835,10,5.697978597,2.733650416
R280,40.859022,-73.93419,1,8.775634518,9.415228426,9.607106599,10,5.577664975,2.050761421
R281,40.775545,-73.976398,1.359716758,8.258064516,9.180015736,9.602045633,10,5.606923682,1
R282,40.726202,-74.003627,1,8.337931034,9.484482759,9.701724138,10,6.427586207,1.732758621
R283,40.68617,-73.973908,1,6.264054514,7.72572402,7.38330494,10,3.279386712,3.954003407
R284,40.683263,-73.965838,1,7.966367713,8.921524664,9.468609865,10,5.789237668,2.450672646
R285,40.603983,-73.755383,1,8.664625,9.409375,9.928,10,6.18175,2.798875
R286,40.694568,-73.949046,1,8.015949312,8.830019664,9.201660476,10,6.425169325,1.9812104
R287,40.688855,-73.960025,1,7.884764291,8.862445912,9.057162378,10,5.40059212,1.977681621
R288,40.666276,-73.980324,1,9.064,9.723647059,9.752235294,10,7.010941176,2.215529412
R289,40.650722,-73.975818,1,7.605504587,9.118283093,9.174311927,10,6.517365662,2.161861075
R290,40.728202,-74.005344,1,8.804907604,9.59921236,9.887306877,10,7.318994244,2.075128749
R291,40.744558,-73.930993,1,9.960609244,10,9.521008403,9.043592437,7.108718487,1.472689076
R292,40.878656,-73.838596,1,9.051383399,10,9.398221344,8.96541502,6.101778656,2.200592885
R293,40.750264,-73.992984,1,9.169662046,9.52932565,9.666126772,10,7.625603489,2.04226756
R294,40.706148,-73.93316,1,8.318364074,9.269246191,9.391940658,10,6.375100241,3.504410585
